yy;mm;SiteID;spi
1981;01;6718;NA
1981;01;6720;NA
1981;01;6721;NA
1981;01;6723;NA
1981;01;6729;NA
1981;01;6730;NA
1981;01;6733;NA
1981;01;6736;NA
1981;01;6768;NA
1981;01;6769;NA
1981;01;6771;NA
1981;01;102;NA
1981;01;110;NA
1981;01;149;NA
1981;01;150;NA
1981;01;172;NA
1981;01;176;NA
1981;01;18;NA
1981;01;197;NA
1981;01;203;NA
1981;01;223;NA
1981;01;30;NA
1981;01;49;NA
1981;01;58;NA
1981;01;77;NA
1981;01;94;NA
1981;01;13063;NA
1981;01;14158;NA
1981;01;14246;NA
1981;01;14271;NA
1981;01;14415;NA
1981;01;14444;NA
1981;01;14458;NA
1981;01;9013;NA
1981;01;9041;NA
1981;01;9051;NA
1981;01;9054;NA
1981;01;9071;NA
1981;01;9101;NA
1981;01;9119;NA
1981;01;9121;NA
1981;01;9177;NA
1981;01;9189;NA
1981;01;9230;NA
1981;01;9233;NA
1981;01;9244;NA
1981;01;9276;NA
1981;01;9287;NA
1981;01;9328;NA
1981;01;9404;NA
1981;01;9573;NA
1981;01;9578;NA
1981;01;2;NA
1981;01;21;NA
1981;01;43;NA
1981;01;47;NA
1981;01;51;NA
1981;01;53;NA
1981;01;7;NA
1981;01;14233;NA
1981;01;5884;NA
1981;01;5937;NA
1981;01;7144;NA
1981;01;6000;NA
1981;01;6031;NA
1981;01;5647;NA
1981;01;5649;NA
1981;01;10;NA
1981;01;217;NA
1981;01;221;NA
1981;01;222;NA
1981;01;225;NA
1981;01;227;NA
1981;01;23;NA
1981;01;250;NA
1981;01;31;NA
1981;01;37;NA
1981;01;39;NA
1981;01;408;NA
1981;01;5;NA
1981;01;50;NA
1981;01;52;NA
1981;01;6;NA
1981;01;8;NA
1981;01;6510;NA
1981;01;6511;NA
1981;01;6512;NA
1981;01;6516;NA
1981;01;6528;NA
1981;01;6529;NA
1981;01;6541;NA
1981;01;6546;NA
1981;01;6561;NA
1981;01;6564;NA
1981;01;6569;NA
1981;01;6570;NA
1981;01;6576;NA
1981;01;6591;NA
1981;01;6594;NA
1981;01;6598;NA
1981;01;6601;NA
1981;01;6602;NA
1981;01;6615;NA
1981;01;6638;NA
1981;01;6639;NA
1981;01;6640;NA
1981;01;26;NA
1981;01;44;NA
1981;01;5675;NA
1981;01;5677;NA
1981;01;5679;NA
1981;01;5681;NA
1981;01;5720;NA
1981;02;6718;NA
1981;02;6720;NA
1981;02;6721;NA
1981;02;6723;NA
1981;02;6729;NA
1981;02;6730;NA
1981;02;6733;NA
1981;02;6736;NA
1981;02;6768;NA
1981;02;6769;NA
1981;02;6771;NA
1981;02;102;NA
1981;02;110;NA
1981;02;149;NA
1981;02;150;NA
1981;02;172;NA
1981;02;176;NA
1981;02;18;NA
1981;02;197;NA
1981;02;203;NA
1981;02;223;NA
1981;02;30;NA
1981;02;49;NA
1981;02;58;NA
1981;02;77;NA
1981;02;94;NA
1981;02;13063;NA
1981;02;14158;NA
1981;02;14246;NA
1981;02;14271;NA
1981;02;14415;NA
1981;02;14444;NA
1981;02;14458;NA
1981;02;9013;NA
1981;02;9041;NA
1981;02;9051;NA
1981;02;9054;NA
1981;02;9071;NA
1981;02;9101;NA
1981;02;9119;NA
1981;02;9121;NA
1981;02;9177;NA
1981;02;9189;NA
1981;02;9230;NA
1981;02;9233;NA
1981;02;9244;NA
1981;02;9276;NA
1981;02;9287;NA
1981;02;9328;NA
1981;02;9404;NA
1981;02;9573;NA
1981;02;9578;NA
1981;02;2;NA
1981;02;21;NA
1981;02;43;NA
1981;02;47;NA
1981;02;51;NA
1981;02;53;NA
1981;02;7;NA
1981;02;14233;NA
1981;02;5884;NA
1981;02;5937;NA
1981;02;7144;NA
1981;02;6000;NA
1981;02;6031;NA
1981;02;5647;NA
1981;02;5649;NA
1981;02;10;NA
1981;02;217;NA
1981;02;221;NA
1981;02;222;NA
1981;02;225;NA
1981;02;227;NA
1981;02;23;NA
1981;02;250;NA
1981;02;31;NA
1981;02;37;NA
1981;02;39;NA
1981;02;408;NA
1981;02;5;NA
1981;02;50;NA
1981;02;52;NA
1981;02;6;NA
1981;02;8;NA
1981;02;6510;NA
1981;02;6511;NA
1981;02;6512;NA
1981;02;6516;NA
1981;02;6528;NA
1981;02;6529;NA
1981;02;6541;NA
1981;02;6546;NA
1981;02;6561;NA
1981;02;6564;NA
1981;02;6569;NA
1981;02;6570;NA
1981;02;6576;NA
1981;02;6591;NA
1981;02;6594;NA
1981;02;6598;NA
1981;02;6601;NA
1981;02;6602;NA
1981;02;6615;NA
1981;02;6638;NA
1981;02;6639;NA
1981;02;6640;NA
1981;02;26;NA
1981;02;44;NA
1981;02;5675;NA
1981;02;5677;NA
1981;02;5679;NA
1981;02;5681;NA
1981;02;5720;NA
1981;03;6718;-1.0866256173495135
1981;03;6720;-1.4368803697197507
1981;03;6721;-1.2783766585362863
1981;03;6723;-0.5944328220494572
1981;03;6729;0.0222668629884725
1981;03;6730;0.05971680575902195
1981;03;6733;0.17430012661419128
1981;03;6736;0.058720755221466525
1981;03;6768;0.12096042248500298
1981;03;6769;-0.3894575323006132
1981;03;6771;-0.6076456964249448
1981;03;102;0.017188319242312167
1981;03;110;-1.0339736675599038
1981;03;149;-0.8579491894141815
1981;03;150;-0.0807726400430164
1981;03;172;0.22231908433406158
1981;03;176;0.5436817130025686
1981;03;18;0.9216062230207649
1981;03;197;0.5238829812991124
1981;03;203;0.8400925636894475
1981;03;223;-0.24278097111649669
1981;03;30;1.8190920466507745
1981;03;49;NA
1981;03;58;0.9690284382338915
1981;03;77;0.5369942672976559
1981;03;94;-0.8797908855019184
1981;03;13063;0.2184609682966803
1981;03;14158;-0.5260955547157151
1981;03;14246;-0.02474322860091533
1981;03;14271;-0.3355408330333785
1981;03;14415;-0.9549774138595948
1981;03;14444;-0.6138867619003873
1981;03;14458;-0.6519555006520369
1981;03;9013;-0.35124701512254886
1981;03;9041;0.2356411585075195
1981;03;9051;0.1258259112498964
1981;03;9054;-2.1995347694657297
1981;03;9071;-0.7623997282250954
1981;03;9101;-1.1216910429230436
1981;03;9119;0.03966603372256379
1981;03;9121;-0.10916875711624294
1981;03;9177;-0.2427544978222987
1981;03;9189;-0.05436927961048168
1981;03;9230;-0.7216053744212619
1981;03;9233;-0.4464132442440392
