SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;regione;SpiID
6709;TORINO/BRIC DELLA C;160610;45.033;7.733;710;aeronautica;aeronautica_6709
6718;MILANO/LINATE;160800;45.433;9.283;103;aeronautica;aeronautica_6718
6720;PIACENZA;160840;44.917;9.733;138;aeronautica;aeronautica_6720
6721;BRESCIA/GHEDI;160880;45.417;10.283;97;aeronautica;aeronautica_6721
6723;VERONA/VILLAFRANCA;160900;45.383;10.867;68;aeronautica;aeronautica_6723
6729;TREVISO/ISTRANA;160980;45.683;12.1;46;aeronautica;aeronautica_6729
6730;TREVISO/S. ANGELO;160990;45.65;12.183;23;aeronautica;aeronautica_6730
6733;VENEZIA/TESSERA;161050;45.5;12.333;6;aeronautica;aeronautica_6733
6736;TRIESTE;161100;45.65;13.75;20;aeronautica;aeronautica_6736
6758;MONTE CIMONE;161340;44.2;10.7;2173;aeronautica;aeronautica_6758
6768;CERVIA;161480;44.217;12.3;10;aeronautica;aeronautica_6768
6769;RIMINI;161490;44.033;12.617;13;aeronautica;aeronautica_6769
6771;CAPO MELE;161530;43.95;8.167;221;aeronautica;aeronautica_6771
77;Vipiteno;32600MS;46.89782475;11.42939034;946;bolzano;bolzano_77
5;Monte Maria;02500MS;46.70568911;10.5212676;1256;bolzano;bolzano_5
18;Silandro;09700MS;46.62375473;10.78026981;684;bolzano;bolzano_18
23;Diga di Gioveretto Osservatore;11200BM;46.50906285;10.72507183;1896;bolzano;bolzano_23
28;Vernago;15800MS;46.73565796;10.84927965;1823;bolzano;bolzano_28
30;Naturno;19300MS;46.64766321;10.99117805;561;bolzano;bolzano_30
39;Plata;20900MS;46.82249293;11.17808117;1118;bolzano;bolzano_39
49;Merano - Quarazze;23200MS;46.68805798;11.13656021;369;bolzano;bolzano_49
58;Diga di Zoccolo-S.Valburga;25900MS;46.54187189;10.99013577;1282;bolzano;bolzano_58
79;Diga di Vizze Osservatore;33600BM;46.92499219;11.5246721;1415;bolzano;bolzano_79
83;Ridanna;34500MS;46.90908292;11.30677415;1337;bolzano;bolzano_83
94;Dobbiaco;41000MS;46.72997843;12.21915906;1219;bolzano;bolzano_94
102;S.Maddalena in Casies;44500MS;46.83526049;12.24271916;1456;bolzano;bolzano_102
110;Predoi;50500MS;47.03658867;12.09912721;1515;bolzano;bolzano_110
149;Terento;65600MS;46.83445756;11.78557637;1437;bolzano;bolzano_149
150;Fundres;66500MS;46.88718005;11.7029428;1151;bolzano;bolzano_150
172;Colma-Barbiano;74900MS;46.59512824;11.52910684;511;bolzano;bolzano_172
176;Fi� allo Sciliar;75600MS;46.51340578;11.50595194;804;bolzano;bolzano_176
197;Sarentino;82200MS;46.64063165;11.3550613;976;bolzano;bolzano_197
203;Bolzano;83200MS;46.49768516;11.31283145;246;bolzano;bolzano_203
223;Sesto;91500MS;46.70305366;12.34996391;1490;bolzano;bolzano_223
9317;RAVENNAURB;08RAVENNAURB;44.40709;12.19867;4;emiliaromagna;emiliaromagna_9317
9573;Monghidoro  tele   Reno-Idice;08MONGHIDOROTELE;44.2223;11.3234;801;emiliaromagna;emiliaromagna_9573
14158;Bologna idrografico;OPENDATA26;44.49972;11.34611;45;emiliaromagna;emiliaromagna_14158
14246;Ferrara urbana;OPENDATA114;44.8325;11.62114;9;emiliaromagna;emiliaromagna_14246
14271;Imola;OPENDATA139;44.34535;11.71292;44;emiliaromagna;emiliaromagna_14271
14415;San Clemente;OPENDATA283;44.31916;11.49065;208;emiliaromagna;emiliaromagna_14415
14444;Secondo Salto;OPENDATA312;44.78278;11.37016;15;emiliaromagna;emiliaromagna_14444
14458;Sostegno Reno;OPENDATA326;44.66547;11.27237;25;emiliaromagna;emiliaromagna_14458
