yy;mm;SiteID;spi
1981;01;6718;NA
1981;01;6720;NA
1981;01;6721;NA
1981;01;6723;NA
1981;01;6729;NA
1981;01;6730;NA
1981;01;6733;NA
1981;01;6736;NA
1981;01;6768;NA
1981;01;6769;NA
1981;01;6771;NA
1981;01;102;NA
1981;01;110;NA
1981;01;135;NA
1981;01;149;NA
1981;01;150;NA
1981;01;166;NA
1981;01;172;NA
1981;01;176;NA
1981;01;18;NA
1981;01;197;NA
1981;01;203;NA
1981;01;206;NA
1981;01;223;NA
1981;01;49;NA
1981;01;77;NA
1981;01;94;NA
1981;01;14158;NA
1981;01;14246;NA
1981;01;14271;NA
1981;01;14415;NA
1981;01;14444;NA
1981;01;14458;NA
1981;01;9013;NA
1981;01;9068;NA
1981;01;9101;NA
1981;01;9119;NA
1981;01;9167;NA
1981;01;9177;NA
1981;01;9191;NA
1981;01;9192;NA
1981;01;9230;NA
1981;01;9244;NA
1981;01;9287;NA
1981;01;9310;NA
1981;01;9317;NA
1981;01;9404;NA
1981;01;9573;NA
1981;01;9578;NA
1981;01;2;NA
1981;01;43;NA
1981;01;47;NA
1981;01;51;NA
1981;01;53;NA
1981;01;7;NA
1981;01;14233;NA
1981;01;14437;NA
1981;01;5884;NA
1981;01;5937;NA
1981;01;7144;NA
1981;01;6000;NA
1981;01;6031;NA
1981;01;9601;NA
1981;01;5598;NA
1981;01;5600;NA
1981;01;5602;NA
1981;01;5609;NA
1981;01;5612;NA
1981;01;5613;NA
1981;01;5617;NA
1981;01;5620;NA
1981;01;5621;NA
1981;01;5628;NA
1981;01;5629;NA
1981;01;5632;NA
1981;01;5634;NA
1981;01;5640;NA
1981;01;5646;NA
1981;01;5647;NA
1981;01;5649;NA
1981;01;5651;NA
1981;01;10;NA
1981;01;210;NA
1981;01;221;NA
1981;01;222;NA
1981;01;225;NA
1981;01;227;NA
1981;01;228;NA
1981;01;23;NA
1981;01;247;NA
1981;01;250;NA
1981;01;31;NA
1981;01;349;NA
1981;01;37;NA
1981;01;39;NA
1981;01;4;NA
1981;01;408;NA
1981;01;41;NA
1981;01;5;NA
1981;01;50;NA
1981;01;61;NA
1981;01;8;NA
1981;01;6510;NA
1981;01;6511;NA
1981;01;6512;NA
1981;01;6516;NA
1981;01;6521;NA
1981;01;6528;NA
1981;01;6529;NA
1981;01;6541;NA
1981;01;6543;NA
1981;01;6546;NA
1981;01;6547;NA
1981;01;6561;NA
1981;01;6564;NA
1981;01;6569;NA
1981;01;6570;NA
1981;01;6576;NA
1981;01;6591;NA
1981;01;6594;NA
1981;01;6598;NA
1981;01;6601;NA
1981;01;6602;NA
1981;01;6615;NA
1981;01;6638;NA
1981;01;6639;NA
1981;01;6640;NA
1981;01;44;NA
1981;01;5675;NA
1981;01;5677;NA
1981;01;5678;NA
1981;01;5679;NA
1981;01;5680;NA
1981;01;5681;NA
1981;01;5682;NA
1981;01;5683;NA
1981;01;5687;NA
1981;01;5688;NA
1981;01;5689;NA
1981;01;5690;NA
1981;01;5691;NA
1981;01;5692;NA
1981;01;5693;NA
1981;01;5696;NA
1981;01;5697;NA
1981;01;5698;NA
1981;01;5699;NA
1981;01;5700;NA
1981;01;5703;NA
1981;01;5704;NA
1981;01;5705;NA
1981;01;5707;NA
1981;01;5708;NA
1981;01;5709;NA
1981;01;5710;NA
1981;01;5711;NA
1981;01;5712;NA
1981;01;5713;NA
1981;01;5714;NA
1981;01;5715;NA
1981;01;5716;NA
1981;01;5717;NA
1981;01;5718;NA
1981;01;5720;NA
1981;01;5721;NA
1981;01;5722;NA
1981;01;5723;NA
1981;01;5725;NA
1981;01;5726;NA
1981;01;5727;NA
1981;01;5728;NA
1981;01;5729;NA
1981;01;5732;NA
1981;01;5733;NA
1981;01;5734;NA
1981;01;5735;NA
1981;01;5736;NA
1981;01;5737;NA
1981;01;5738;NA
1981;01;5739;NA
1981;01;5740;NA
1981;01;5741;NA
1981;01;5742;NA
1981;01;5743;NA
1981;01;5744;NA
1981;01;5745;NA
1981;01;5746;NA
1981;01;5747;NA
1981;01;5748;NA
1981;01;5752;NA
1981;01;5753;NA
1981;01;5754;NA
1981;01;5755;NA
1981;01;5756;NA
1981;01;5758;NA
1981;01;5759;NA
1981;01;5760;NA
1981;01;5761;NA
1981;01;5763;NA
1981;01;5764;NA
1981;01;5766;NA
1981;01;5769;NA
1981;01;5770;NA
1981;01;5771;NA
1981;01;5772;NA
1981;01;5773;NA
1981;01;5774;NA
1981;01;5775;NA
1981;01;5776;NA
1981;01;5777;NA
1981;01;5779;NA
1981;01;5780;NA
1981;01;5781;NA
1981;01;5783;NA
1981;01;5784;NA
1981;01;5786;NA
1981;01;5797;NA
1981;01;5798;NA
1981;01;5799;NA
1981;01;5800;NA
1981;01;5801;NA
1981;02;6718;NA
1981;02;6720;NA
1981;02;6721;NA
1981;02;6723;NA
1981;02;6729;NA
1981;02;6730;NA
1981;02;6733;NA
1981;02;6736;NA
1981;02;6768;NA
1981;02;6769;NA
1981;02;6771;NA
1981;02;102;NA
1981;02;110;NA
1981;02;135;NA
1981;02;149;NA
1981;02;150;NA
1981;02;166;NA
1981;02;172;NA
1981;02;176;NA
1981;02;18;NA
1981;02;197;NA
1981;02;203;NA
1981;02;206;NA
1981;02;223;NA
1981;02;49;NA
1981;02;77;NA
1981;02;94;NA
1981;02;14158;NA
1981;02;14246;NA
1981;02;14271;NA
1981;02;14415;NA
1981;02;14444;NA
1981;02;14458;NA
1981;02;9013;NA
1981;02;9068;NA
1981;02;9101;NA
1981;02;9119;NA
1981;02;9167;NA
1981;02;9177;NA
1981;02;9191;NA
1981;02;9192;NA
1981;02;9230;NA
1981;02;9244;NA
1981;02;9287;NA
1981;02;9310;NA
1981;02;9317;NA
1981;02;9404;NA
1981;02;9573;NA
1981;02;9578;NA
1981;02;2;NA
1981;02;43;NA
1981;02;47;NA
1981;02;51;NA
1981;02;53;NA
1981;02;7;NA
1981;02;14233;NA
1981;02;14437;NA
1981;02;5884;NA
1981;02;5937;NA
1981;02;7144;NA
1981;02;6000;NA
1981;02;6031;NA
1981;02;9601;NA
1981;02;5598;NA
1981;02;5600;NA
1981;02;5602;NA
1981;02;5609;NA
1981;02;5612;NA
1981;02;5613;NA
1981;02;5617;NA
1981;02;5620;NA
1981;02;5621;NA
1981;02;5628;NA
1981;02;5629;NA
